NTAName,avg,NTA2020,date
Downtown Brooklyn-DUMBO-Boerum Hill,6.663482637566138,BK0202,2024-12-28 19:27:22.166206
Dyker Beach Park,1.0444749999999998,BK1091,2024-12-28 19:27:22.166206
Dyker Heights,7.3578802083333334,BK1002,2024-12-28 19:27:22.166206
East Elmhurst,6.184455864197531,QN0302,2024-12-28 19:27:22.166206
East Flatbush-Erasmus,6.040884567901235,BK1701,2024-12-28 19:27:22.166206
East Flatbush-Farragut,6.3463808888888895,BK1702,2024-12-28 19:27:22.166206
East Flatbush-Remsen Village,8.619250115995117,BK1704,2024-12-28 19:27:22.166206
East Flatbush-Rugby,5.317789583333333,BK1703,2024-12-28 19:27:22.166206
East Flushing,3.6391166982108496,QN0705,2024-12-28 19:27:22.166206
East Harlem (North),5.859652274305556,MN1102,2024-12-28 19:27:22.166206
East Harlem (South),4.567147627923976,MN1101,2024-12-28 19:27:22.166206
East Midtown-Turtle Bay,8.080050084325396,MN0604,2024-12-28 19:27:22.166206
East New York (North),6.528929880952381,BK0502,2024-12-28 19:27:22.166206
East New York-City Line,4.365914267676768,BK0505,2024-12-28 19:27:22.166206
East New York-New Lots,10.365665344611529,BK0503,2024-12-28 19:27:22.166206
East Village,8.265015035909308,MN0303,2024-12-28 19:27:22.166206
East Williamsburg,9.176279038170824,BK0104,2024-12-28 19:27:22.166206
Elmhurst,8.186006249064722,QN0401,2024-12-28 19:27:22.166206
Financial District-Battery Park City,12.28599799382716,MN0101,2024-12-28 19:27:22.166206
Flatbush,9.305236340208612,BK1401,2024-12-28 19:27:22.166206
Flatbush (West)-Ditmas Park-Parkville,8.77525735479798,BK1402,2024-12-28 19:27:22.166206
Flatlands,7.801685236392873,BK1801,2024-12-28 19:27:22.166206
Flushing-Willets Point,4.46377163037888,QN0707,2024-12-28 19:27:22.166206
Forest Hills,4.663734027777778,QN0602,2024-12-28 19:27:22.166206
Forest Park,10.745143333333333,QN8291,2024-12-28 19:27:22.166206
Fort Greene,4.553036583333333,BK0203,2024-12-28 19:27:22.166206
Fresh Meadows-Utopia,5.5477464518467645,QN0803,2024-12-28 19:27:22.166206
Freshkills Park (North),7.204069444444445,SI0291,2024-12-28 19:27:22.166206
Freshkills Park (South),12.772788888888886,SI0391,2024-12-28 19:27:22.166206
Glen Oaks-Floral Park-New Hyde Park,2.533920987654321,QN1301,2024-12-28 19:27:22.166206
Glendale,10.776494027777776,QN0503,2024-12-28 19:27:22.166206
Gramercy,5.966595208333334,MN0602,2024-12-28 19:27:22.166206
Grasmere-Arrochar-South Beach-Dongan Hills,7.890564111629112,SI0201,2024-12-28 19:27:22.166206
Gravesend (East)-Homecrest,11.398126125,BK1501,2024-12-28 19:27:22.166206
Gravesend (South),8.731034590056408,BK1301,2024-12-28 19:27:22.166206
Gravesend (West),8.61086005870198,BK1103,2024-12-28 19:27:22.166206
Great Kills-Eltingville,9.597760466269841,SI0302,2024-12-28 19:27:22.166206
Green-Wood Cemetery,9.229501666666668,BK0771,2024-12-28 19:27:22.166206
Greenpoint,3.011567989417989,BK0101,2024-12-28 19:27:22.166206
Greenwich Village,11.573049484702095,MN0202,2024-12-28 19:27:22.166206
Hamilton Heights-Sugar Hill,9.300909884744884,MN0903,2024-12-28 19:27:22.166206
Harlem (North),7.014756935545385,MN1002,2024-12-28 19:27:22.166206
